lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status,alpha
0.3,4.0696681835299975,0.41364303272265607,2.06821516361328,0.9469183830031336,0.8809482993081428,0.0934287085871806,0.2252339908129968,✗,0.6
0.2,0.037897679034054166,0.41364303272265607,0.41364303272265607,0.9733074589070202,0.9364213652279111,0.04570762104120446,0.11315887828021191,✓,0.6
0.4,0.09776993783734966,0.41364303272265607,0.41364303272265607,0.9191401761588643,0.8292758982720015,0.14662221994446528,0.3431188222635831,~,0.6
0.5,0.11874022200599033,0.41364303272265607,0.41364303272265607,0.8939488702422652,0.7878011829276944,0.19772034935472022,0.4489263316490468,✗,0.6
0.6,0.1321140850095025,0.41364303272265607,0.41364303272265607,0.8735335549428468,0.7581274686064746,0.24129285845508175,0.5317323304441905,✗,0.6
0.7,0.13844258371738982,0.41364303272265607,0.41364303272265607,0.8588865135455002,0.7399800454902402,0.273830291175452,0.5856463204524556,✗,0.6
0.7999999999999999,4.138363947323745,0.41364303272265607,2.06821516361328,0.8503939681682119,0.7327301019521553,0.2932092603189682,0.6079316639141262,✗,0.6
0.8999999999999999,6.132427188635726,0.41364303272265607,2.8955012290585924,0.8480550334866506,0.7357494895936375,0.29861459558163056,0.5985971088980094,✗,0.6
1.2,7.093144808914088,0.41364303272265607,3.3091442617812485,0.8660170318911323,0.7853520409392873,0.25785283501928236,0.45552386673198597,✗,0.6
1.0999999999999999,7.107020139157829,0.41364303272265607,3.3091442617812485,0.8583598158152475,0.7664980288792116,0.2750209985273415,0.5077246609975405,✗,0.6
0.9999999999999999,6.121395302885887,0.41364303272265607,2.8955012290585924,0.8512757207407172,0.747934846781996,0.29117921811488967,0.5616914233963008,✗,0.6
0.1,0.014445999085429873,0.41364303272265607,0.41364303272265607,0.9903779482463486,0.976070949311752,0.012144418919425115,0.030644609781083014,✓,0.8
0.2,0.049481581577714207,0.41364303272265607,0.41364303272265607,0.9647238155437609,0.9169877553649686,0.04570762104120446,0.11315887828021191,✓,0.8
0.3,4.089345339821772,0.41364303272265607,2.06821516361328,0.9304550304828343,0.8473232095954683,0.0934287085871806,0.2252339908129968,✗,0.8
0.5,0.14786160977945162,0.41364303272265607,0.41364303272265607,0.8634264211020807,0.7357588005518163,0.19772034935472022,0.4489263316490468,✗,0.8
0.6,0.16300959859481345,0.41364303272265607,0.41364303272265607,0.8381988775128641,0.7015644149468689,0.24129285845508175,0.5317323304441905,✗,0.8
0.4,0.12334083281994357,0.41364303272265607,0.41364303272265607,0.8950165493211933,0.7846244627402853,0.14662221994446528,0.3431188222635831,✗,0.8
0.7,0.16986716112074696,0.41364303272265607,0.41364303272265607,0.8203013204546388,0.6809590638854092,0.273830291175452,0.5856463204524556,✗,0.8
0.7999999999999999,4.1693939608802015,0.41364303272265607,2.06821516361328,0.8100003234439092,0.6727911603415007,0.2932092603189682,0.6079316639141262,✗,0.8
0.8999999999999999,6.16227576678144,0.41364303272265607,2.8955012290585924,0.8071730717031783,0.6761884425672143,0.29861459558163056,0.5985971088980094,✗,0.8
1.0999999999999999,7.132389143552287,0.41364303272265607,3.3091442617812485,0.8196608448061242,0.7111466475588972,0.2750209985273415,0.5077246609975405,✗,0.8
0.9999999999999999,6.149314724233939,0.41364303272265607,2.8955012290585924,0.811067256362924,0.6899629726439165,0.29117921811488967,0.5616914233963008,✗,0.8
0.1,0.017950116544623085,0.41364303272265607,0.41364303272265607,0.9880012983400229,0.9702665598885806,0.012144418919425115,0.030644609781083014,✓,1.0
1.2,7.115900478186487,0.41364303272265607,3.3091442617812485,0.8289933678998687,0.7329126401468475,0.25785283501928236,0.45552386673198597,✗,0.8
0.2,0.0605944565103026,0.41364303272265607,0.41364303272265607,0.9562902477504241,0.8983443599218845,0.04570762104120446,0.11315887828021191,~,1.0
0.3,4.10757560042744,0.41364303272265607,2.06821516361328,0.9145543665961544,0.8161706314860363,0.0934287085871806,0.2252339908129968,✗,1.0
0.4,0.14629874815391108,0.41364303272265607,0.41364303272265607,0.8721268283536606,0.7445357651340792,0.14662221994446528,0.3431188222635831,✗,1.0
0.5,0.17337388161648293,0.41364303272265607,0.41364303272265607,0.8349194371947982,0.6901662135312867,0.19772034935472022,0.4489263316490468,✗,1.0
0.6,0.18961503013054748,0.41364303272265607,0.41364303272265607,0.805611659801704,0.6528555806548836,0.24129285845508175,0.5317323304441905,✗,1.0
0.7,0.1966491677589417,0.41364303272265607,0.41364303272265607,0.7850339302869225,0.6306576612334681,0.273830291175452,0.5856463204524556,✗,1.0
0.7999999999999999,4.1957312059077445,0.41364303272265607,2.06821516361328,0.7732700582064742,0.6219169772213693,0.2932092603189682,0.6079316639141262,✗,1.0
0.8999999999999999,6.187653606807266,0.41364303272265607,2.8955012290585924,0.7700514097118356,0.6255484852523902,0.29861459558163056,0.5985971088980094,✗,1.0
0.9999999999999999,6.1732174495094,0.41364303272265607,2.8955012290585924,0.774485823478472,0.640331364454344,0.29117921811488967,0.5616914233963008,✗,1.0
1.0999999999999999,7.154340953948606,0.41364303272265607,3.3091442617812485,0.7843008085004147,0.6632510735337978,0.2750209985273415,0.5077246609975405,✗,1.0
1.2,7.135807482261713,0.41364303272265607,3.3091442617812485,0.7950055619858506,0.6870378582284943,0.25785283501928236,0.45552386673198597,✗,1.0
0.1,0.0214128045849985,0.41364303272265607,0.41364303272265607,0.985636027811416,0.964530796155956,0.012144418919425115,0.030644609781083014,✓,1.2
0.3,4.124512895135989,0.41364303272265607,2.06821516361328,0.8991880284678364,0.7872275237716844,0.0934287085871806,0.2252339908129968,✗,1.2
0.2,0.07126446093414662,0.41364303272265607,0.41364303272265607,0.9480028537763333,0.8804439414379303,0.04570762104120446,0.11315887828021191,~,1.2
0.4,0.1670247288717137,0.41364303272265607,0.41364303272265607,0.8503787039585248,0.7083444314915729,0.14662221994446528,0.3431188222635831,✗,1.2
0.6,0.2127659347795624,0.41364303272265607,0.41364303272265607,0.7754634492450652,0.6104712435790551,0.24129285845508175,0.5317323304441905,✗,1.2
0.7,0.21974665277623195,0.41364303272265607,0.41364303272265607,0.7526740536684972,0.5872764497433269,0.273830291175452,0.5856463204524556,✗,1.2
0.5,0.19590882342678884,0.41364303272265607,0.41364303272265607,0.8082346703430177,0.6498943670233785,0.19772034935472022,0.4489263316490468,✗,1.2
0.7999999999999999,4.218365397200527,0.41364303272265607,2.06821516361328,0.7397264320309712,0.5781957758807995,0.2932092603189682,0.6079316639141262,✗,1.2
0.8999999999999999,6.209495171321956,0.41364303272265607,2.8955012290585924,0.7361940527883916,0.5819649535732825,0.29861459558163056,0.5985971088980094,✗,1.2
0.9999999999999999,6.193912118029772,0.41364303272265607,2.8955012290585924,0.7410618336452631,0.5973609638920834,0.29117921811488967,0.5616914233963008,✗,1.2
1.0999999999999999,7.173522445303574,0.41364303272265607,3.3091442617812485,0.7518654543753677,0.6213999221928715,0.2750209985273415,0.5077246609975405,✗,1.2
1.2,7.153369226398926,0.41364303272265607,3.3091442617812485,0.7636949198058773,0.6465676207504601,0.25785283501928236,0.45552386673198597,✗,1.2
