lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.43249581264252623,0.930696823625976,0.930696823625976,0.9949629647685884,0.5646456487717806,0.0063281692507307545,0.9637777962497449,20.803696374063698,21.044606196568722,21.762325773369295,21.798387864719437,21.806936318671763,21.8310928924584,0.24090982250502435,0.7177195768005724,0.03606209135014282,0.00854845395232573,0.02415657378663738,0.00854845395232573,✗
0.15625,0.41795615902024763,0.930696823625976,0.930696823625976,0.9874948319029034,0.5747652849084208,0.015829409548654395,0.924800797510181,20.781817384352298,21.05004513295728,21.712232504506442,21.776211288029163,21.784312422055105,21.82521619311966,0.268227748604982,0.6621873715491624,0.06397878352272102,0.008101134025942258,0.04090377106455634,0.008101134025942258,✗
0.21250000000000002,0.4007148358653839,0.930696823625976,0.930696823625976,0.9766848060736557,0.5853127143156365,0.02983971105795272,0.88561053677355,20.75243619797701,21.05574415217591,21.65205270909298,21.74559997512744,21.754769219234685,21.817411851422886,0.3033079541989032,0.5963085569170694,0.0935472660344594,0.009169244107244623,0.06264263218820076,0.009169244107244623,✗
0.26875000000000004,0.38239987007058773,0.930696823625976,0.930696823625976,0.9628756686695396,0.5946721380761774,0.048194606710954276,0.8519985971494689,20.71669665628598,21.06053240365962,21.584843423303067,21.707827505733277,21.719316699666134,21.80745962509991,0.3438357473736424,0.5243110196434451,0.12298408243021086,0.011489193932856523,0.08814292543377533,0.011489193932856523,✗
0.32500000000000007,0.6973202895954941,0.930696823625976,1.2409290981679681,0.9466404333162931,0.6020756633188028,0.0704591268312622,0.826151015820278,20.67540217925441,21.0635704856888,21.51191508930132,21.6638198723255,21.67884908345653,21.795160007574296,0.38816830643439104,0.4483446036125187,0.15190478302418242,0.015029211131029285,0.11631092411776578,0.015029211131029285,✗
0.3812500000000001,0.6793847476299865,0.930696823625976,1.2409290981679681,0.9286673429183068,0.6073006954903118,0.09601481308895383,0.8082884381365592,20.62907886342989,21.06428686444055,21.43387389094441,21.614219606499613,21.634054465037458,21.780326914057706,0.43520800101066115,0.36958702650386144,0.18034571555520174,0.019834858537844724,0.14627244902024827,0.019834858537844724,✗
0.4375,0.004383603028650707,0.930696823625976,0.6204645490839841,0.9096655369662614,0.6104313039137454,0.12413142435708344,0.7977324671682078,20.578060661302686,21.062292200070736,21.35102618176606,21.559492105183036,21.585445923758897,21.76275385823434,0.48423153876805003,0.28873398169532294,0.208465923416977,0.025953818575860765,0.17730793447544357,0.025953818575860765,✓
0.49375,0.020421753476511206,0.930696823625976,0.6204645490839841,0.8903005376905122,0.6117151898943959,0.15402026852928521,0.7934346255416598,20.522555049348163,21.057313215844538,21.26354464478694,21.499999960444995,21.53340506656994,21.742185508841267,0.5347581664963741,0.20623142894240232,0.23645531565805555,0.033405106124945405,0.2087804422713262,0.033405106124945405,✓
0.55,0.03525242908191961,0.930696823625976,0.6204645490839841,0.8711558162806234,0.6114809028198168,0.18487534220553295,0.7942175613918289,20.46268666953479,21.049148656510525,21.17154226475656,21.436047217296764,21.47821528651608,21.71828904412812,0.5864619869757348,0.12239360824603551,0.2645049525402037,0.04216806921931493,0.2400737576120413,0.04216806921931493,✓
0.5750000000000001,0.041433799974059604,0.930696823625976,0.6204645490839841,0.8628479907339655,0.6109830648787341,0.19869086261267294,0.7958832197715594,20.434697813632578,21.04445518498316,21.12922466353453,21.40626346218572,21.452732435533786,21.70648942659096,0.6097573713505824,0.08476947855136885,0.27703879865119063,0.0464689733480661,0.2537569910571733,0.0464689733480661,✓
